transition_label,transition_name,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,base_score,final_score,gain,interest_matching_base,interest_matching_final,interest_matching_gain,tu_utilization_base,tu_utilization_final,tu_utilization_gain,city_visit_efficiency_base,city_visit_efficiency_final,city_visit_efficiency_gain,geographic_coverage_base,geographic_coverage_final,geographic_coverage_gain,long_travel_penalty_base,long_travel_penalty_final,long_travel_penalty_gain,travel_streak_smoothness_base,travel_streak_smoothness_final,travel_streak_smoothness_gain,stay_streak_smoothness_base,stay_streak_smoothness_final,stay_streak_smoothness_gain,runtime_seconds,violations
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",9,winter,6,nature_food,0.4,0.2,0.3,0.3,86.709063,86.709063,0.0,0.9090909,0.9090909,0.0,0.962963,0.962963,0.0,0.6666667,0.6666667,0.0,0.8223313,0.8223313,0.0,0.8111468,0.8111468,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.107251,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",9,winter,6,culture_food,0.1,0.4,0.3,0.2,71.0561532,76.4406737,5.3845204,0.6546053,0.9034553,0.24885,0.9444444,0.9074074,-0.037037,0.8333333,0.5,-0.3333333,0.7792768,0.8257429,0.0464661,0.0039811,0.1461374,0.1421563,0.949868,1.0,0.050132,1.0,0.9722222,-0.0277778,0.078644,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",9,winter,10,balanced,0.25,0.25,0.25,0.25,69.3660139,73.2016303,3.8356164,0.6575342,0.7671233,0.109589,0.9333333,0.9333333,0.0,0.8333333,0.8333333,0.0,0.6708776,0.6708776,0.0,0.0039811,0.0039811,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,0.097974,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",9,winter,10,nature_food,0.4,0.2,0.3,0.3,73.6641132,75.7924915,2.1283784,0.7195946,0.7804054,0.0608108,0.9666667,0.9666667,0.0,0.8333333,0.8333333,0.0,0.7792768,0.7792768,0.0,0.0039811,0.0039811,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,0.089759,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",9,winter,10,culture_food,0.1,0.4,0.3,0.2,69.5556901,78.2651809,8.7094907,0.6186343,0.8674769,0.2488426,0.9222222,0.9222222,0.0,0.8333333,0.8333333,0.0,0.7854005,0.7854005,0.0,0.0039811,0.0039811,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,0.1097,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",9,winter,6,balanced,0.25,0.25,0.25,0.25,67.419786,67.419786,0.0,0.4318182,0.4318182,0.0,0.9814815,0.9814815,0.0,0.6666667,0.6666667,0.0,0.5223058,0.5223058,0.0,1.0,1.0,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,0.034874,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",9,winter,6,nature_food,0.4,0.2,0.3,0.3,70.4656935,70.4656935,0.0,0.4940476,0.4940476,0.0,0.962963,0.962963,0.0,0.6666667,0.6666667,0.0,0.6011084,0.6011084,0.0,0.9963616,0.9963616,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,0.023931,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",9,winter,6,culture_food,0.1,0.4,0.3,0.2,66.1083154,66.1083154,0.0,0.4854651,0.4854651,0.0,1.0,1.0,0.0,0.6666667,0.6666667,0.0,0.8366988,0.8366988,0.0,0.1817215,0.1817215,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,0.027369,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",9,winter,10,balanced,0.25,0.25,0.25,0.25,64.847577,64.847577,0.0,0.3703704,0.3703704,0.0,0.9777778,0.9777778,0.0,0.6666667,0.6666667,0.0,0.4979072,0.4979072,0.0,1.0,1.0,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,0.083727,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",9,winter,10,nature_food,0.4,0.2,0.3,0.3,73.6160477,73.6160477,0.0,0.6720779,0.6720779,0.0,0.9777778,0.9777778,0.0,0.6666667,0.6666667,0.0,0.6277271,0.6277271,0.0,0.6261408,0.6261408,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,0.088508,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",9,winter,10,culture_food,0.1,0.4,0.3,0.2,58.7509309,58.7509309,0.0,0.4222222,0.4222222,0.0,0.9444444,0.9444444,0.0,0.5,0.5,0.0,0.8284365,0.8284365,0.0,0.0018827,0.0018827,0.0,1.0,1.0,0.0,0.9722222,0.9722222,0.0,0.083799,-
