algorithm_id,algorithm,field,value,n,total_score_mean,interest_matching_mean,tu_utilization_mean,city_visit_efficiency_mean,geographic_coverage_mean,long_travel_penalty_mean,travel_streak_smoothness_mean,stay_streak_smoothness_mean,total_score_median,interest_matching_median,tu_utilization_median,city_visit_efficiency_median,geographic_coverage_median,long_travel_penalty_median,travel_streak_smoothness_median,stay_streak_smoothness_median
2,route_planner_greedy_local:RoutePlanner,start_city,"Zurich, Switzerland",48,68.80413508125001,0.5205619104166667,0.9711943416666666,0.6152065624999999,0.6808562312499999,0.6752231875,0.9710416625000001,0.9936342499999999,68.8256033,0.54031385,0.971627,0.6666667,0.6826887500000001,0.7463113,1.0,1.0
3,route_planner:RoutePlanner,start_city,"Geneva, Switzerland",48,85.43943868958333,0.8106673770833334,0.9567906708333332,0.9358084020833334,0.6723813979166667,0.9505075333333334,0.8258409958333334,0.9914186458333334,86.9960463,0.878305,0.9593254,1.0,0.67487,1.0,0.8220908,1.0
3,route_planner:RoutePlanner,start_city,"Interlaken, Switzerland",48,85.47824965,0.9140549625,0.936742175,0.8714387437500001,0.75532603125,0.5841583479166667,0.8493568833333334,0.9890707624999999,85.6605254,0.9430014,0.9444444,0.8888889,0.7232705,0.75031845,0.86268345,1.0
3,route_planner:RoutePlanner,start_city,"St. Moritz, Switzerland",48,67.4519573375,0.6164054208333333,0.9515118020833334,0.5703347625,0.82919045,0.072697075,0.9832818645833333,0.9937665291666667,68.644289,0.6210543,0.9624339,0.6666667,0.8556892,0.0164619,1.0,1.0
3,route_planner:RoutePlanner,start_city,"Zurich, Switzerland",48,68.80413508125001,0.5205619104166667,0.9711943416666666,0.6152065624999999,0.6808562312499999,0.6752231875,0.9710416625000001,0.9936342499999999,68.8256033,0.54031385,0.971627,0.6666667,0.6826887500000001,0.7463113,1.0,1.0
1,route_planner_greedy:RoutePlanner,end_city,"Lucerne, Switzerland",48,72.54779487500001,0.5192660208333334,0.965776575,0.7662927416666667,0.6773175666666668,0.8463627541666666,0.96579811875,0.9880125666666667,73.62291605,0.54136045,0.9666667,0.7777778,0.68966435,1.0,1.0,1.0
1,route_planner_greedy:RoutePlanner,end_city,"St. Moritz, Switzerland",96,68.34059915729166,0.5871332135416667,0.951564984375,0.6740117583333333,0.796377240625,0.16016811979166667,0.9791568812500001,0.9928323354166667,69.1438846,0.6066637500000001,0.96,0.6666667,0.7916941,0.0171529,1.0,1.0
1,route_planner_greedy:RoutePlanner,end_city,"Zurich, Switzerland",48,68.80413508125001,0.5205619104166667,0.9711943416666666,0.6152065624999999,0.6808562312499999,0.6752231875,0.9710416625000001,0.9936342499999999,68.8256033,0.54031385,0.971627,0.6666667,0.6826887500000001,0.7463113,1.0,1.0
2,route_planner_greedy_local:RoutePlanner,end_city,"Lucerne, Switzerland",48,82.58690343958334,0.7824567291666668,0.9497767895833333,0.8287927354166666,0.6809949249999999,0.8807927604166667,0.91189215,0.9880125666666667,84.78868935,0.8377525,0.95694445,0.8333333,0.692732,1.0,0.9598944,1.0
2,route_planner_greedy_local:RoutePlanner,end_city,"St. Moritz, Switzerland",96,73.24453158541667,0.7159996197916666,0.9472445489583333,0.7087339770833333,0.7931190833333334,0.17378738854166667,0.9492091208333333,0.9928323354166667,73.26778295,0.6898673,0.95694445,0.6923077,0.7854005,0.01917165,0.9785148,1.0
2,route_planner_greedy_local:RoutePlanner,end_city,"Zurich, Switzerland",48,68.80413508125001,0.5205619104166667,0.9711943416666666,0.6152065624999999,0.6808562312499999,0.6752231875,0.9710416625000001,0.9936342499999999,68.8256033,0.54031385,0.971627,0.6666667,0.6826887500000001,0.7463113,1.0,1.0
3,route_planner:RoutePlanner,end_city,"Lucerne, Switzerland",48,85.43943868958333,0.8106673770833334,0.9567906708333332,0.9358084020833334,0.6723813979166667,0.9505075333333334,0.8258409958333334,0.9914186458333334,86.9960463,0.878305,0.9593254,1.0,0.67487,1.0,0.8220908,1.0
3,route_planner:RoutePlanner,end_city,"St. Moritz, Switzerland",96,76.46510349375,0.7652301916666667,0.9441269885416667,0.720886753125,0.7922582406249999,0.3284277114583333,0.9163193739583333,0.9914186458333334,75.39266475,0.7839862,0.9555556,0.6923077,0.7894744,0.0872324,0.949868,1.0
3,route_planner:RoutePlanner,end_city,"Zurich, Switzerland",48,68.80413508125001,0.5205619104166667,0.9711943416666666,0.6152065624999999,0.6808562312499999,0.6752231875,0.9710416625000001,0.9936342499999999,68.8256033,0.54031385,0.971627,0.6666667,0.6826887500000001,0.7463113,1.0,1.0
